"","Nationals","Liberals","Labor"
"speak",0,12,13
"speaker",0,1,3
"special",0,1,3
"specialist",0,1,1
"spectat",0,1,0
"speech",0,5,10
"speechless",0,1,0
"speed",0,1,0
"spell",0,1,0
"spend",0,1,12
"spglobalr",0,1,0
"spinout",0,1,0
"spiral",0,1,0
"spirit",0,1,2
"spit",0,1,0
"split",0,5,0
"spoke",0,3,2
"sportaustralia",0,1,0
"spotlight",0,1,0
"spring",0,1,3
"springst",0,2,2
"squadron",0,1,0
"src",0,1,0
"stage",0,1,0
"star",0,1,2
"starbuck",0,1,0
"stat",0,1,1
"statement",0,3,7
"station",0,2,5
"stealth",0,1,0
"stem",0,2,0
"step",0,4,2
"stephen",0,2,1
"stephenwademlc",0,3,0
"stepup",0,1,0
"steveironsmp",0,3,0
"stevemurrayau",0,2,0
"steven",0,1,0
"stevenciobo",0,1,0
"stick",0,1,0
"still",0,5,23
"stood",0,1,1
"stop",0,6,18
"stor",0,1,1
"storm",0,1,3
"straddi",0,1,0
"strait",0,1,0
"streamlin",0,1,0
"streetwork",0,1,0
"strength",0,5,0
"strengthen",0,1,1
"stretch",0,1,0
"strike",0,2,1
"strip",0,1,2
"striv",0,1,0
"striver",0,2,0
"strongest",0,1,0
"structur",0,1,0
"stuart",0,1,0
"stuartrobertmp",0,1,0
"stun",0,1,0
"stupidest",0,1,0
"sturt",0,2,0
"sturtcf",0,1,0
"sub",0,1,0
"subbaseplatypus",0,1,0
"submiss",0,1,0
"substanti",0,2,1
"succeed",0,1,1
"suit",0,3,0
"summer",0,2,2
"sunshin",0,1,1
"super",0,2,2
"superannu",0,1,1
"suppo",0,1,0
"supportact",0,1,3
"supportin",0,1,0
"surfcoastnot",0,1,0
"surpris",0,6,4
"surveil",0,2,0
"survey",0,1,2
"susanamalcorra",0,1,0
"swannyqld",0,1,5
"switzerland",0,1,0
"sydney",0,7,15
"sydneylivegb",0,3,0
"sydneytohobart",0,1,0
"sylvania",0,1,0
"sylvia",0,1,0
"system",0,7,5
"tabul",0,1,0
"tae",0,1,0
"tag",0,1,2
"talent",0,1,0
"tanyaden",0,1,0
"tape",0,4,0
"task",0,1,1
"taskforc",0,4,8
"tasmania",0,1,1
"tatu",0,1,0
"taught",0,1,1
"taxfreethreshold",0,1,0
"taxpay",0,1,10
"taxrefund",0,1,0
"teach",0,5,3
"teacher",0,2,8
"team",0,8,25
"teamquirk",0,1,1
"tear",0,1,0
"technic",0,1,1
"telecommun",0,1,0
"telstan",0,1,0
"tempest",0,1,0
"ten",0,1,3
"term",0,1,2
"terrel",0,1,0
"terri",0,3,2
"territori",0,4,1
"terrorist",0,1,1
"test",0,3,4
"testament",0,1,0
"textur",0,1,0
"tha",0,1,8
"theaemc",0,1,0
"theatr",0,1,2
"theboltreport",0,1,0
"theheraldsun",0,2,1
"thekouk",0,1,10
"thelma",0,3,0
"thes",0,1,0
"thetis",0,1,2
"thetodayshow",0,1,2
"theworldgam",0,1,1
"thi",0,2,1
"third",0,1,4
"tho",0,1,6
"thorough",0,1,0
"thousand",0,5,7
"thrill",0,1,1
"thrive",0,2,0
"thro",0,1,0
"thru",0,4,0
"tight",0,1,2
"timsmithmp",0,2,0
"timwilsonmp",0,9,2
"tissu",0,3,1
"titanicqueen",0,2,0
"tminear",0,2,1
"togeth",0,5,7
"told",0,2,12
"toler",0,1,0
"tomelliottaw",0,1,0
"tomwconnel",0,1,2
"tomwmaclean",0,1,0
"tone",0,1,0
"toni",0,3,6
"tonia",0,1,0
"tonyabbottmhr",0,2,1
"tonytardio",0,1,0
"topic",0,1,1
"torr",0,1,0
"total",0,2,4
"tourism",0,1,3
"tow",0,1,0
"town",0,1,2
"townaward",0,1,0
"tracey",0,1,1
"track",0,1,2
"tradit",0,1,2
"transform",0,3,3
"travi",0,1,0
"treasur",0,1,8
"treat",0,3,3
"treatment",0,2,0
"trent",0,2,1
"trial",0,2,0
"trick",0,1,0
"triplemmelb",0,1,1
"triumph",0,1,1
"triumpha",0,1,0
"trust",0,1,1
"tuck",0,1,0
"tuesday",0,2,0
"tune",0,2,1
"tur",0,1,0
"turbin",0,1,0
"turkish",0,1,0
"turnbul",0,1,9
"twbchamber",0,4,0
"twin",0,1,0
"type",0,1,1
"uaegov",0,1,0
"uav",0,2,0
"uncl",0,2,0
"underway",0,3,2
"unfortun",0,1,1
"uniqu",0,1,0
"univers",0,2,6
"unleash",0,1,0
"unley",0,1,0
"unman",0,1,0
"unpack",0,1,0
"unpilot",0,1,0
"unswcanberra",0,2,0
"unwis",0,1,0
"upfront",0,1,0
"upset",0,2,0
"upsidenewslib",0,1,0
"upskil",0,1,0
"upto",0,1,0
"urg",0,1,7
"usnavi",0,1,0
"usual",0,1,5
"uwa",0,1,0
"uwanew",0,1,0
"vaccari",0,1,0
"vale",0,1,1
"valiant",0,1,0
"valu",0,6,1
"van",0,1,2
"vanish",0,1,0
"varghes",0,1,2
"variant",0,1,0
"varieti",0,1,0
"vessel",0,8,1
"vicechair",0,1,0
"vicechancellor",0,1,0
"vicvot",0,3,7
"vision",0,1,2
"voic",0,1,3
"votelibera",0,1,0
"vulner",0,3,0
"wage",0,4,20
"wait",0,1,11
"walkforaut",0,4,0
"wamv",0,1,0
"warehous",0,1,0
"warm",0,4,1
"warn",0,5,6
"warrig",0,1,0
"waterford",0,2,0
"watermelon",0,1,0
"waurn",0,1,0
"wayn",0,1,0
"weaponis",0,1,0
"webstercar",0,1,0
"wef",0,3,0
"weight",0,1,0
"weld",0,3,0
"wendoure",0,1,0
"went",0,5,2
"wesstat",0,1,0
"westbourn",0,1,0
"westcoasteagl",0,1,0
"western",0,2,5
"westmoreland",0,1,0
"weston",0,2,0
"westryd",0,1,0
"whatev",0,2,0
"wheel",0,1,0
"wherea",0,1,0
"whereourfoodcomesfrom",0,1,0
"whi",0,1,0
"whole",0,1,3
"whose",0,1,1
"wide",0,1,2
"wil",0,1,0
"wild",0,1,0
"wilson",0,3,0
"win",0,5,5
"wispc",0,1,0
"within",0,1,2
"without",0,3,7
"wodonga",0,1,0
"woman",0,2,4
"wombat",0,2,1
"women",0,17,27
"won",0,2,2
"wong",0,1,1
"woodlupin",0,1,0
"woolf",0,6,0
"woolridg",0,1,0
"workforc",0,3,3
"workshop",0,1,1
"worldcopdday",0,1,0
"worlddiabetesday",0,1,1
"worldfirst",0,1,0
"worldrenown",0,2,0
"worri",0,2,2
"wrangl",0,1,0
"wreck",0,1,0
"wright",0,1,0
"wrong",0,1,6
"yaia",0,1,0
"yale",0,1,0
"yarrabilba",0,1,0
"yep",0,1,2
"yes",0,5,14
"yest",0,1,0
"yet",0,3,11
"yogamotorskil",0,1,0
"yorga",0,1,0
"yoriko",0,1,0
"york",0,1,0
"youd",0,2,1
"youn",0,1,0
"young",0,5,11
"youngaustintaff",0,2,0
"youradf",0,3,0
"yourallon",0,3,0
"yourmoneyaus",0,1,0
"youv",0,2,4
"yrs",0,1,1
"zach",0,1,0
"zboat",0,1,0
"zedseselja",0,2,0
"zimmerman",0,1,0
"zwahlen",0,1,0
"abbott",0,0,8
"abbottturnbullmorrisontrussjoycemccormack",0,0,1
"abcaustralia",0,0,2
"abcbrisban",0,0,3
"abcfactcheck",0,0,4
"abchobart",0,0,1
"abcnew",0,0,4
"abcrnthehub",0,0,1
"abcthedrum",0,0,2
"abe",0,0,5
"abnorm",0,0,1
"abo",0,0,1
"absurd",0,0,2
"absurdit",0,0,1
"acceler",0,0,1
"accid",0,0,3
"accommod",0,0,2
"accur",0,0,1
"ace",0,0,1
"acm",0,0,1
"activ",0,0,1
"actu",0,0,1
"adamzwar",0,0,1
"adelaidefc",0,0,1
"adeleferguson",0,0,1
"adjourn",0,0,1
"administr",0,0,2
"admir",0,0,1
"adopt",0,0,1
"advocat",0,0,1
"aemo",0,0,1
"aeufeder",0,0,1
"afairgoforcommut",0,0,1
"affor",0,0,1
"afr",0,0,1
"afterpay",0,0,1
"agai",0,0,1
"agdayau",0,0,1
"agr",0,0,2
"ahmadiyyasa",0,0,2
"aint",0,0,2
"ajar",0,0,1
"akpennington",0,0,1
"ala",0,0,1
"alafroiskioti",0,0,1
"alberici",0,0,1
"albomp",0,0,9
"album",0,0,2
"aleagu",0,0,1
"alert",0,0,1
"alevi",0,0,1
"algacomm",0,0,1
"alic",0,0,2
"alicedruri",0,0,1
"alicia",0,0,3
"alifr",0,0,1
"align",0,0,2
"alikadriau",0,0,2
"alisonstanden",0,0,1
"allan",0,0,2
"allegor",0,0,1
"allow",0,0,3
"alp",0,0,5
"alpsa",0,0,5
"altern",0,0,2
"although",0,0,1
"alumnus",0,0,1
"alwa",0,0,1
"ama",0,0,1
"amamedia",0,0,1
"amandarishworth",0,0,3
"amazon",0,0,1
"ambisaucear",0,0,1
"ambush",0,0,2
"amen",0,0,1
"amend",0,0,1
"amequ",0,0,1
"america",0,0,4
"american",0,0,5
"among",0,0,1
"amwu",0,0,1
"amwuqldnt",0,0,2
"amyremeiki",0,0,2
"analysi",0,0,12
"anatolian",0,0,1
"anderson",0,0,1
"andrewbartlett",0,0,1
"andrewcatsara",0,0,1
"andrewjbutch",0,0,1
"andrewjgil",0,0,2
"andrewlund",0,0,1
"andrewprobyn",0,0,3
"andrewtillett",0,0,1
"angst",0,0,1
"angus",0,0,3
"anim",0,0,2
"annabelcrabb",0,0,2
"annett",0,0,1
"annikasmethurst",0,0,1
"annoy",0,0,1
"anthoni",0,0,2
"anthonychisholm",0,0,2
"antiimmigr",0,0,2
"anu",0,0,2
"anucrawford",0,0,1
"anxieti",0,0,2
"anybodi",0,0,1
"anyth",0,0,5
"anytimew",0,0,1
"anywher",0,0,1
"apanpalestin",0,0,2
"apparel",0,0,1
"appreciat",0,0,1
"apprentic",0,0,1
"approach",0,0,1
"appropri",0,0,1
"approv",0,0,1
"apvma",0,0,1
"arcanakhalil",0,0,1
"arcgovau",0,0,2
"archerfield",0,0,1
"architect",0,0,1
"archiv",0,0,1
"argu",0,0,2
"arinjittumariyath",0,0,1
"armadal",0,0,1
"arncliff",0,0,1
"arrog",0,0,2
"arsehol",0,0,1
"asap",0,0,1
"asbestosrel",0,0,1
"asbestossafeti",0,0,1
"asbfeo",0,0,1
"ascdef",0,0,1
"ashfield",0,0,1
"ashleytownshend",0,0,1
"asiacap",0,0,2
"asian",0,0,1
"asianamerican",0,0,1
"asiasocietyaus",0,0,2
"asiasocietyph",0,0,1
"aspect",0,0,1
"asrc",0,0,2
"assang",0,0,1
"assassin",0,0,2
"assert",0,0,6
"assign",0,0,1
"assum",0,0,1
"asylum",0,0,1
"atec",0,0,1
"athinapb",0,0,1
"atm",0,0,4
"ato",0,0,1
"atta",0,0,1
"attain",0,0,2
"attitud",0,0,1
"auburn",0,0,1
"audley",0,0,1
"aumanufactur",0,0,1
"ausag",0,0,1
"ausbiz",0,0,1
"ausecon",0,0,1
"auselectoralcom",0,0,2
"ausen",0,0,3
"ausmus",0,0,1
"ausmusicmonth",0,0,1
"ausoftheyear",0,0,1
"ausp",0,0,1
"auss",0,0,1
"austalia",0,0,1
"austaxprof",0,0,1
"auster",0,0,2
"austindo",0,0,1
"austparlia",0,0,1
"australianstori",0,0,2
"ausvleb",0,0,1
"ausvlib",0,0,1
"averag",0,0,1
"aviv",0,0,1
"avoid",0,0,4
"awkward",0,0,1
"awunion",0,0,1
"babi",0,0,2
"backbench",0,0,1
"backfil",0,0,1
"baffl",0,0,3
"bake",0,0,1
"balanc",0,0,1
"bali",0,0,3
"ballarat",0,0,1
"bankingrc",0,0,3
"bankrupt",0,0,1
"bar",0,0,1
"bare",0,0,1
"bargain",0,0,2
"barker",0,0,1
"barnabi",0,0,3
"barrel",0,0,1
"barrett",0,0,1
"basi",0,0,1
"basic",0,0,2
"basketbal",0,0,2
"bass",0,0,1
"bat",0,0,1
"bath",0,0,1
"batik",0,0,3
"batteri",0,0,7
"bcc",0,0,1
"bdo",0,0,1
"beam",0,0,1
"bean",0,0,2
"beani",0,0,1
"beastieboy",0,0,1
"beazley",0,0,2
"becam",0,0,2
"beenleigh",0,0,1
"beer",0,0,2
"beetoota",0,0,1
"bega",0,0,1
"bei",0,0,1
"bel",0,0,1
"bell",0,0,1
"bemoreus",0,0,1
"ben",0,0,1
"bencarrollmp",0,0,1
"bencubbi",0,0,3
"bendigo",0,0,6
"benefactor",0,0,1
"beneficiari",0,0,1
"beneltham",0,0,1
"benoquist",0,0,3
"berlin",0,0,1
"berwick",0,0,1
"betray",0,0,1
"bevanshield",0,0,2
"bgoaddi",0,0,1
"bgofoodshar",0,0,1
"bhp",0,0,7
"bhps",0,0,2
"biju",0,0,1
"billjohnstonmla",0,0,1
"bintang",0,0,3
"bipartisan",0,0,8
"bkbaguley",0,0,1
"black",0,0,1
"blackout",0,0,2
"blakandblack",0,0,1
"blame",0,0,1
"blanketcrap",0,0,1
"blockchain",0,0,1
"bloodi",0,0,2
"bloom",0,0,1
"bloombergau",0,0,4
"blow",0,0,2
"blower",0,0,1
"blue",0,0,3
"blushtreasur",0,0,1
"bnef",0,0,2
"boar",0,0,1
"bob",0,0,1
"boconnormp",0,0,2
"bodi",0,0,2
"bomqld",0,0,1
"bonni",0,0,1
"bont",0,0,1
"bonus",0,0,1
"boom",0,0,3
"boot",0,0,2
"boringenorm",0,0,1
"born",0,0,2
"boss",0,0,2
"bottom",0,0,5
"bourkestreet",0,0,1
"bowenluk",0,0,1
"bradchilcott",0,0,1
"braddon",0,0,1
"brassal",0,0,2
"breakneck",0,0,1
"brennan",0,0,1
"brexit",0,0,1
"brexitchao",0,0,1
"brian",0,0,1
"brianbennion",0,0,1
"brianna",0,0,1
"bride",0,0,1
"bridgewat",0,0,1
"brigidwd",0,0,1
"brisbanetim",0,0,1
"british",0,0,1
"broad",0,0,4
"broadca",0,0,4
"broadcast",0,0,1
"broken",0,0,3
"broom",0,0,1
"brought",0,0,2
"brown",0,0,1
"bru",0,0,1
"brunswick",0,0,6
"btw",0,0,1
"bun",0,0,3
"bunker",0,0,1
"buol",0,0,1
"buolelijah",0,0,1
"bur",0,0,1
"burb",0,0,1
"bureau",0,0,1
"buse",0,0,1
"bushrangersbar",0,0,1
"butter",0,0,2
"button",0,0,3
"buyback",0,0,1
"buynow",0,0,1
"byelect",0,0,1
"cahil",0,0,1
"cake",0,0,2
"california",0,0,2
"callampick",0,0,1
"camdencouncil",0,0,1
"cameron",0,0,2
"camouflag",0,0,1
"campai",0,0,1
"campbel",0,0,2
"campbelltown",0,0,2
"campbelltownnsw",0,0,1
"canberratim",0,0,10
"cancel",0,0,1
"cane",0,0,1
"cap",0,0,4
"capac",0,0,1
"capit",0,0,1
"cappadocia",0,0,1
"carlo",0,0,1
"carozza",0,0,1
"carpark",0,0,1
"carriag",0,0,1
"cartoon",0,0,2
"cartoonist",0,0,1
"castro",0,0,1
"casual",0,0,1
"casuarina",0,0,1
"cat",0,0,2
"catbilyk",0,0,1
"catchup",0,0,2
"cate",0,0,1
"catemc",0,0,1
"catherinekingmp",0,0,7
"cathi",0,0,1
"catpurri",0,0,1
"cattlecouncilau",0,0,1
"cave",0,0,3
"cba",0,0,3
"cbas",0,0,2
"cclairebear",0,0,1
"cdfaust",0,0,1
"cduni",0,0,1
"celebrati",0,0,1
"cemeteri",0,0,1
"cen",0,0,1
"cenot",0,0,1
"cenotaph",0,0,1
"censusfail",0,0,1
"centreleft",0,0,1
"centuri",0,0,2
"certainti",0,0,1
"cessnockcouncil",0,0,1
"challi",0,0,2
"chamber",0,0,1
"champion",0,0,1
"changeaus",0,0,1
"changefest",0,0,5
"changetherul",0,0,9
"chao",0,0,6
"chapter",0,0,1
"charact",0,0,1
"charit",0,0,1
"chariti",0,0,14
"charl",0,0,1
"charlessturtsa",0,0,1
"chart",0,0,2
"chase",0,0,1
"chaser",0,0,2
"cheap",0,0,1
"cheaper",0,0,12
"cheat",0,0,1
"chemic",0,0,1
"chequ",0,0,1
"cherri",0,0,1
"cheryl",0,0,1
"chew",0,0,1
"chicken",0,0,1
"chifley",0,0,1
"child",0,0,1
"childhood",0,0,2
"childhoodpreschool",0,0,1
"chirnsid",0,0,1
"chisel",0,0,1
"chisholm",0,0,1
"chloe",0,0,1
"cho",0,0,1
"choir",0,0,1
"chprsl",0,0,1
"chris",0,0,2
"christi",0,0,1
"christian",0,0,2
"chrys",0,0,3
"church",0,0,2
"ciandant",0,0,1
"cindybrunswick",0,0,2
"ciobo",0,0,2
"circa",0,0,1
"citizen",0,0,3
"citizenship",0,0,3
"cityd",0,0,1
"cityofcasey",0,0,1
"citywhittlesea",0,0,1
"civic",0,0,1
"cla",0,0,1
"clap",0,0,1
"clare",0,0,1
"clareawright",0,0,1
"clariti",0,0,1
"clark",0,0,1
"cleaner",0,0,1
"click",0,0,3
"cliff",0,0,2
"climat",0,0,11
"climateact",0,0,1
"clinic",0,0,6
"clog",0,0,2
"cloudtrip",0,0,1
"clown",0,0,1
"clrlindascott",0,0,1
"clubegaff",0,0,1
"cnaustralia",0,0,1
"cntrfuturework",0,0,10
"coach",0,0,1
"cobawcommhealth",0,0,1
"coburg",0,0,2
"cockatoo",0,0,1
"code",0,0,1
"coee",0,0,1
"coffer",0,0,1
"coffey",0,0,1
"cohes",0,0,1
"cohort",0,0,1
"cohost",0,0,1
"coleman",0,0,1
"colinbrooksmp",0,0,1
"collid",0,0,3
"colour",0,0,1
"columbia",0,0,1
"com",0,0,1
"comedi",0,0,2
"comfort",0,0,3
"commbank",0,0,2
"commemor",0,0,2
"comment",0,0,2
"communi",0,0,1
"communist",0,0,1
"communit",0,0,1
"commut",0,0,3
"commuterpark",0,0,1
"comp",0,0,1
"compact",0,0,4
"compan",0,0,1
"compass",0,0,2
"compel",0,0,9
"compens",0,0,2
"compil",0,0,1
"complain",0,0,2
"complaint",0,0,1
"compromis",0,0,1
"comyn",0,0,2
"concentr",0,0,5
"concert",0,0,1
"concess",0,0,2
"condemn",0,0,2
"cone",0,0,1
"confus",0,0,4
"conglomer",0,0,1
"conroy",0,0,1
"consensus",0,0,1
"consider",0,0,1
"consist",0,0,1
"constant",0,0,2
"constitut",0,0,1
"consult",0,0,3
"consum",0,0,1
"contact",0,0,1
"contain",0,0,1
"contemporari",0,0,1
"content",0,0,3
"context",0,0,1
"contr",0,0,1
"contract",0,0,2
"contractor",0,0,1
"contradict",0,0,3
"convers",0,0,6
"conversation",0,0,1
"convo",0,0,1
"cooge",0,0,1
"cool",0,0,1
"cop",0,0,1
"copi",0,0,1
"coreysp",0,0,1
"cormann",0,0,1
"corner",0,0,1
"corpora",0,0,1
"corybernardi",0,0,1
"cotool",0,0,1
"couldnt",0,0,4
"councillor",0,0,1
"counsel",0,0,2
"countrybycountri",0,0,1
"couriermail",0,0,1
"cov",0,0,1
"coverag",0,0,2
"coverup",0,0,1
"cporterwa",0,0,2
"cpsunion",0,0,2
"crack",0,0,1
"craigkellymp",0,0,2
"crakanthorp",0,0,1
"cranthonyaitken",0,0,1
"crazi",0,0,4
"crclcl",0,0,1
"creas",0,0,2
"creation",0,0,1
"credibl",0,0,2
"credlin",0,0,1
"cregan",0,0,1
"crewtrain",0,0,1
"cringefil",0,0,1
"crisi",0,0,4
"criti",0,0,1
"crowedm",0,0,2
"crucial",0,0,1
"cruel",0,0,7
"cruis",0,0,3
"crumbl",0,0,1
"cswallac",0,0,1
"cub",0,0,1
"cuba",0,0,1
"cun",0,0,1
"cunningha",0,0,1
"cuppa",0,0,1
"curb",0,0,1
"curious",0,0,1
"currentl",0,0,1
"curtin",0,0,1
"curtinuni",0,0,1
"cycl",0,0,1
"cynic",0,0,1
"daili",0,0,4
"dalebea",0,0,1
"daley",0,0,1
"dalfram",0,0,2
"danni",0,0,1
"danwillstis",0,0,1
"danziff",0,0,1
"darbi",0,0,1
"darrenchestermp",0,0,5
"darw",0,0,2
"darwinconvent",0,0,1
"data",0,0,7
"davidhtassi",0,0,1
"davidobyrn",0,0,1
"davoren",0,0,1
"davrosz",0,0,1
"daw",0,0,1
"daycar",0,0,1
"dayther",0,0,1
"dead",0,0,2
"deadlin",0,0,2
"deafen",0,0,1
"dear",0,0,1
"deb",0,0,2
"debt",0,0,4
"decathlon",0,0,1
"deceit",0,0,3
"deck",0,0,1
"declar",0,0,2
"declin",0,0,1
"decreas",0,0,1
"decrypt",0,0,1
"deemadigan",0,0,9
"deeper",0,0,3
"defaus",0,0,1
"defeat",0,0,2
"defect",0,0,1
"defend",0,0,5
"deflect",0,0,1
"defyg",0,0,1
"degrad",0,0,1
"deindustrialis",0,0,1
"delegitimis",0,0,1
"delet",0,0,4
"deli",0,0,1
"deliveri",0,0,1
"deliveringfor",0,0,1
"delus",0,0,1
"delv",0,0,1
"democrat",0,0,2
"deni",0,0,5
"denmark",0,0,1
"denni",0,0,1
"dental",0,0,7
"dentist",0,0,1
"depart",0,0,2
"deplor",0,0,1
"depress",0,0,2
"deregul",0,0,1
"derrick",0,0,1
"descript",0,0,1
"deser",0,0,1
"design",0,0,3
"despit",0,0,1
"destroy",0,0,1
"destruct",0,0,2
"detent",0,0,1
"devast",0,0,10
"dialogu",0,0,1
"diaspora",0,0,1
"diaz",0,0,1
"dictat",0,0,2
"difarm",0,0,1
"diffic",0,0,1
"dilut",0,0,1
"diminish",0,0,1
"dinkum",0,0,1
"diplomatesshow",0,0,2
"dipper",0,0,2
"disabilit",0,0,1
"disappoint",0,0,10
"disaster",0,0,1
"discrimin",0,0,1
"disea",0,0,1
"dishonest",0,0,1
"dismember",0,0,1
"disput",0,0,4
"disrupt",0,0,1
"distinct",0,0,1
"distort",0,0,1
"distraught",0,0,1
"distress",0,0,1
"district",0,0,1
"distrust",0,0,1
"divid",0,0,2
"dividend",0,0,1
"divis",0,0,3
"diwali",0,0,1
"dmeez",0,0,2
"dobe",0,0,3
"docavv",0,0,2
"document",0,0,2
"dodgi",0,0,1
"dollar",0,0,2
"domen",0,0,1
"domin",0,0,1
"donatelif",0,0,1
"door",0,0,4
"dormitori",0,0,1
"doublejradio",0,0,1
"doug",0,0,1
"down",0,0,3
"downund",0,0,1
"dozen",0,0,1
"dpps",0,0,1
"dra",0,0,1
"drag",0,0,5
"draw",0,0,1
"drayton",0,0,1
"drcraigemerson",0,0,1
"dream",0,0,1
"dreamin",0,0,1
"dri",0,0,2
"drlizob",0,0,2
"drrimmer",0,0,5
"duck",0,0,1
"dud",0,0,2
"dude",0,0,1
"due",0,0,6
"dumb",0,0,1
"dumbfound",0,0,5
"dump",0,0,3
"duncan",0,0,1
"duskasulicich",0,0,4
"dutch",0,0,1
"dutton",0,0,13
"dwabriz",0,0,1
"dymock",0,0,1
"dystopian",0,0,1
"earn",0,0,2
"earth",0,0,1
"eas",0,0,1
"easier",0,0,1
"easili",0,0,1
"eastern",0,0,1
"echo",0,0,1
"eco",0,0,2
"econo",0,0,1
"economicti",0,0,1
"eden",0,0,1
"edenmagnet",0,0,2
"edkuepp",0,0,2
"edthebark",0,0,2
"edu",0,0,1
"efaoz",0,0,2
"effortless",0,0,1
"egg",0,0,2
"eight",0,0,1
"eighteen",0,0,2
"ejdionn",0,0,3
"eleven",0,0,1
"elidafaith",0,0,2
"elijah",0,0,2
"elit",0,0,2
"elitist",0,0,1
"ellenbeaumont",0,0,1
"elli",0,0,1
"ellyhows",0,0,1
"elpinksto",0,0,1
"embarrass",0,0,2
"embarrassm",0,0,1
"emilyslistaus",0,0,1
"emlybkr",0,0,2
"emma",0,0,1
"emmapol",0,0,1
"emmylou",0,0,1
"emp",0,0,1
"emphasis",0,0,1
"empti",0,0,2
"emul",0,0,1
"encrypt",0,0,2
"endlonelinessuk",0,0,1
"endors",0,0,1
"ene",0,0,1
"energ",0,0,3
"english",0,0,2
"enorm",0,0,2
"enrich",0,0,1
"ensconc",0,0,1
"entir",0,0,2
"envirov",0,0,1
"envoy",0,0,2
"eoi",0,0,1
"eric",0,0,1
"erin",0,0,2
"eschlus",0,0,1
"esk",0,0,1
"espec",0,0,1
"essendon",0,0,2
"essendonfc",0,0,4
"establish",0,0,18
"estat",0,0,1
"estimatedth",0,0,1
"etc",0,0,1
"europ",0,0,1
"evad",0,0,2
"eval",0,0,1
"evalu",0,0,7
"evangel",0,0,1
"evanmoorhead",0,0,6
"everaldatlarg",0,0,1
"everydayhero",0,0,1
"everyth",0,0,8
"everythingcount",0,0,1
"evil",0,0,1
"ewinhannan",0,0,1
"exact",0,0,1
"exam",0,0,1
"examin",0,0,1
"examineronlin",0,0,2
"excellen",0,0,1
"excess",0,0,1
"excus",0,0,3
"execut",0,0,3
"existenti",0,0,1
"exit",0,0,1
"expen",0,0,1
"express",0,0,1
"expuls",0,0,1
"extern",0,0,1
"extra",0,0,1
"extraordinari",0,0,1
"facebook",0,0,1
"factcheck",0,0,2
"failsaf",0,0,1
"failur",0,0,2
"fain",0,0,2
"fairfar",0,0,1
"fairfax",0,0,1
"fairfaxnin",0,0,1
"fairfundingnow",0,0,1
"fairgoactionplan",0,0,1
"fall",0,0,30
"fallen",0,0,1
"familymassagewa",0,0,1
"fantasi",0,0,2
"farewel",0,0,2
"farright",0,0,1
"farrm",0,0,9
"father",0,0,1
"fault",0,0,1
"faux",0,0,1
"fawkner",0,0,2
"fbi",0,0,3
"fear",0,0,1
"feb",0,0,1
"februari",0,0,1
"fee",0,0,2
"feed",0,0,6
"feedback",0,0,3
"fella",0,0,2
"fenner",0,0,3
"fergushunt",0,0,1
"ferguson",0,0,1
"ferni",0,0,1
"festiv",0,0,3
"fewer",0,0,1
"fiasco",0,0,1
"fibr",0,0,2
"fidel",0,0,1
"fielder",0,0,1
"fierravantiwel",0,0,1
"fifield",0,0,6
"fifth",0,0,2
"fig",0,0,1
"fightingtori",0,0,1
"film",0,0,5
"finalsunday",0,0,1
"financialcrisi",0,0,1
"finger",0,0,1
"fingerprint",0,0,1
"firearm",0,0,1
"firsthand",0,0,1
"firstnationsvoic",0,0,2
"fiscal",0,0,2
"fishi",0,0,1
"fit",0,0,3
"fitzhunt",0,0,2
"fiveaabreakfast",0,0,3
"flame",0,0,1
"flare",0,0,1
"flashdanc",0,0,1
"flat",0,0,1
"flee",0,0,1
"flora",0,0,1
"focuss",0,0,1
"foeus",0,0,1
"fogerti",0,0,1
"foi",0,0,1
"fold",0,0,1
"foodbankaus",0,0,28
"foodbanksa",0,0,1
"foodbankv",0,0,5
"foodshar",0,0,2
"foolish",0,0,7
"footpath",0,0,1
"footscray",0,0,3
"foray",0,0,1
"forestri",0,0,1
"forgot",0,0,1
"forrest",0,0,1
"forsaken",0,0,1
"fort",0,0,1
"fortnight",0,0,1
"fortstreeth",0,0,1
"fossilfuel",0,0,1
"fought",0,0,1
"found",0,0,5
"foxfootball",0,0,1
"framesjas",0,0,1
"franc",0,0,1
"franchise",0,0,1
"franklinsay",0,0,1
"frankston",0,0,1
"fraser",0,0,1
"fratern",0,0,1
"fre",0,0,1
"frecklington",0,0,2
"freedelli",0,0,1
"freethon",0,0,1
"funni",0,0,2
"fuzzkitto",0,0,1
"fyi",0,0,1
"gabbi",0,0,1
"gabriellechan",0,0,1
"gabrielzucman",0,0,1
"gag",0,0,1
"galleri",0,0,1
"gangofyouth",0,0,2
"gardin",0,0,1
"gareth",0,0,1
"gas",0,0,1
"gather",0,0,3
"gayalcorn",0,0,3
"gbr",0,0,1
"gearer",0,0,3
"gedkearney",0,0,3
"geekingonmus",0,0,1
"geldof",0,0,1
"gener",0,0,1
"generous",0,0,2
"genuin",0,0,2
"georgana",0,0,1
"georgeeaton",0,0,1
"georgesimon",0,0,1
"ger",0,0,1
"german",0,0,2
"germani",0,0,1
"gerona",0,0,1
"gett",0,0,1
"getup",0,0,1
"ghan",0,0,1
"ghostbust",0,0,1
"giant",0,0,1
"gibsonguitar",0,0,1
"gidget",0,0,1
